test_number,time,goal_reached,average_sii,average_rmi,total_time,average_cpu,collision_counter
1,10/02/2022 12:32:20,1,0.03,0.91,231.825258970261,37.56,6
2,10/02/2022 12:37:05,1,0.05,0.97,254.207705974579,37.87,1
3,10/02/2022 12:41:39,1,0.02,0.88,242.793302297592,38.31,1
4,10/02/2022 12:45:42,1,0.01,0.69,213.161798000336,37,0
5,10/02/2022 12:49:32,1,0.04,0.9,199.522187709808,37.2,5
6,10/02/2022 12:57:23,1,0.03,0.96,440.703619003296,22.13,1
8,10/02/2022 13:11:31,1,0.03,0.9,197.512268304825,36.64,4
9,10/02/2022 13:15:22,1,0.03,0.86,200.550451993942,38.99,4
10,10/02/2022 13:19:57,1,0.02,0.84,243.655562877655,37.05,3
11,10/02/2022 13:24:14,1,0.05,1.07,226.424402475357,39.25,7
12,10/02/2022 13:28:10,1,0.01,0.75,206.294266939163,38.21,4
13,10/02/2022 13:32:00,1,0.03,0.96,198.838051557541,34.99,5
15,10/02/2022 13:45:24,1,0.02,0.83,153.681623697281,38.73,0
16,10/02/2022 13:55:43,0,0,0.54,1644500754.5298,10.81,1
17,10/02/2022 13:59:00,1,0.03,0.91,166.60315990448,37.46,1
18,10/02/2022 14:03:07,1,0.05,1.05,216.705145835876,38.9,6
19,10/02/2022 14:06:25,1,0.03,0.87,167.206139087677,36.34,0
20,10/02/2022 14:10:57,1,0.03,0.95,240.752468347549,37.38,7
21,10/02/2022 14:21:16,0,0,0.49,1644502287.47104,11.7,1
22,10/02/2022 14:25:19,1,0.03,0.8,212.473199367523,37.14,5
23,10/02/2022 14:28:56,1,0.04,0.95,185.8664290905,36.46,4
24,10/02/2022 14:39:15,0,0.02,0.95,1644503366.76688,20.04,4
25,10/02/2022 14:44:04,1,0.04,0.93,257.949328184128,32.81,2
26,10/02/2022 14:48:23,1,0.05,1.02,228.242342948914,34.45,2
27,10/02/2022 14:51:43,1,0.03,0.87,169.832008123398,35.92,3
28,10/02/2022 14:55:42,1,0.01,0.76,207.93240904808,38.44,0
29,10/02/2022 14:59:39,1,0.04,0.93,205.934584856033,35.88,2
31,10/02/2022 16:36:35,1,0.01,0.66,171.14736533164978,38.57,0
32,10/02/2022 16:42:14,1,0.05,1.12,308.2529368400574,28.61,1
33,10/02/2022 16:52:33,0,0.0,0.54,1644511364.6386533,10.45,1
34,10/02/2022 17:02:53,0,0.07,1.18,1644511984.1672344,16.06,1
35,10/02/2022 17:06:35,1,0.05,0.97,191.75875616073608,34.83,5
36,10/02/2022 17:12:32,0,0.08,1.17,1644512826.032994,25.4,2
37,10/02/2022 17:16:11,1,0.04,0.91,190.32877850532532,37.37,1
38,10/02/2022 17:20:09,1,0.06,1.11,208.18987154960632,38.48,6
39,10/02/2022 17:24:06,1,0.01,0.75,206.50326585769653,37.44,1
40,10/02/2022 17:27:59,1,0.05,1.01,202.61234068870544,37.37,5
42,10/02/2022 17:42:06,1,0.02,0.79,197.6339328289032,39.89,1
43,10/02/2022 17:45:56,1,0.01,0.81,199.3725230693817,38.75,1
44,10/02/2022 17:56:16,0,0.11,1.46,1644515186.8794348,13.82,1
45,10/02/2022 17:59:49,1,0.02,0.87,183.40888261795044,39.95,0
46,10/02/2022 18:10:09,0,0.06,1.11,1644516020.1612916,65.15,2
47,10/02/2022 18:20:28,0,0.1,1.31,1644516639.5567338,18.87,3
49,11/02/2022 09:51:04,0,0.0,0.58,1644572586.8720045,12.6,1
